Title,Source,Published Date,processed_text,sentiment,sentiment_score,sentiment_label
One states extreme leftwing of Dem majority calling for prostitution to be decriminalized,Wnd.com,2026-02-16T18:49:24Z,state extreme leftwing dem majority call prostitution decriminalize,Negative,-0.125,Negative
Coerced Colorado prison labor amounts to involuntary servitude judge rules,The Denver Post,2026-02-16T18:48:58Z,coerce colorado prison labor amount involuntary servitude judge rule,Neutral,0.0,Neutral
Ericsson Leonardo Italian Navy trial 5G Standalone onsea capabilities,Thefly.com,2026-02-16T18:47:26Z,ericsson leonardo italian navy trial standalone onsea capability,Neutral,0.0,Neutral
WWE Files Trademark For NXT Stable,Wrestling Inc.,2026-02-16T18:47:04Z,wwe files trademark nxt stable,Neutral,0.0,Neutral
Sabres get good news for Olympics return involving Tage Thompson Rasmus Dahlin thanks to bracket,Yahoo Entertainment,2026-02-16T18:46:49Z,sabre good news olympic return involve tage thompson rasmus dahlin thank bracket,Positive,0.7,Positive
Dinosaur Is Back in Action at Walt Disney World,Inside the Magic,2026-02-16T18:46:41Z,dinosaur action walt disney world,Positive,0.1,Positive
CS pushes for institutionalized timebound disaster relief mechanism,Statetimes.in,2026-02-16T18:46:18Z,push institutionalized timebound disaster relief mechanism,Neutral,0.0,Neutral
UFC CEO Dana White confirmsWhite House card is done,The Big Lead,2026-02-16T18:46:12Z,ufc ceo dana white confirmswhite house card,Neutral,0.0,Neutral
Pennsylvania man accused of stabbing 3monthold baby after talking sacrifice,Fox News,2026-02-16T18:45:48Z,pennsylvania man accuse stab baby talk sacrifice,Neutral,0.0,Neutral
Trying to tame the Olympic controversy World Curling sent in the umps Then it sent them away,Yahoo Entertainment,2026-02-16T18:45:02Z,try tame olympic controversy world curling send ump send away,Negative,-0.21666666666666667,Negative
JK Public School Kunjwani teacher felicitated at Amar Ujala Shikshak Samaroh,Statetimes.in,2026-02-16T18:44:43Z,public school kunjwani teacher felicitate amar ujala shikshak samaroh,Neutral,0.0,Neutral
Why the Reserve Banks interest rate hike may be a oneoff,ABC News (AU),2026-02-16T18:44:31Z,reserve bank interest rate hike oneoff,Neutral,0.0,Neutral
Obama Calls Trumps Racist Video A Clown Show,Littlethings.com,2026-02-16T18:43:59Z,obama call trump racist video clown,Neutral,0.0,Neutral
Arutz Sheva Exclusive Rabbi Abuhatzeiras blessing fulfilled in an astonishing way,Israelnationalnews.com,2026-02-16T18:43:57Z,arutz sheva exclusive rabbi abuhatzeiras blessing fulfil astonishing way,Positive,0.5,Positive
Pakistan opposition to continue protest over exPM Khans health amid conflicting reports,Arabnews.pk,2026-02-16T18:43:38Z,pakistan opposition continue protest expm khan health amid conflict report,Neutral,0.0,Neutral
Pak duo among 3 inmates flee Jammu juvenile home after injuring 2 cops,The Times of India,2026-02-16T18:43:22Z,pak duo inmate flee jammu juvenile home injure cop,Negative,-0.25,Negative
Impetigo Guitarist Mark Sawickis Passes Away Aged 58,Metalunderground.com,2026-02-16T18:43:21Z,impetigo guitarist mark sawicki pass away aged,Negative,-0.1,Negative
Kaiser strike hits fourth week as 31000 workers demand higher pay and better staffing,KPBS,2026-02-16T18:43:08Z,kaiser strike hit fourth week worker demand high pay well staffing,Positive,0.08,Positive
YouTubes missing comments might be yet another adblocker deterent,Android Central,2026-02-16T18:43:00Z,youtube miss comment adblocker deterent,Neutral,0.0,Neutral
Infostealer Steals OpenClaw AI Agent Configuration Files and Gateway Tokens,Internet,2026-02-16T18:43:00Z,infostealer steal openclaw agent configuration file gateway token,Neutral,0.0,Neutral
Satvik of JKPS Panjtirthi wins gold in InterDistrict Kudo Championship,Statetimes.in,2026-02-16T18:42:39Z,satvik jkps panjtirthi win gold interdistrict kudo championship,Positive,0.8,Positive
Skilled workers are considering leaving the trades  and toilets are to blame,ABC News (AU),2026-02-16T18:42:32Z,skilled worker consider leave trade toilet blame,Positive,0.23333333333333334,Positive
Deportation Poetry Elon Musk Endorses Farage Rival Launching Hardline UK Party,The Daily Caller,2026-02-16T18:41:56Z,deportation poetry elon musk endorse farage rival launch hardline party,Neutral,0.0,Neutral
Blood Glucose Monitoring Devices Market to Reach USD 368 Billion by 2032 Fueled by CGM Adoption and Home Diagnostics  Credence Research,PR Newswire UK,2026-02-16T18:41:00Z,blood glucose monitoring device market reach usd billion fuel cgm adoption home diagnostic credence research,Neutral,0.0,Neutral
Disney Quietly Updates Its Subscriber Rules  Heres How It Will Impact You,disneyfoodblog.com,2026-02-16T18:38:43Z,disney quietly update subscriber rule here impact,Neutral,0.0,Neutral
Sexual assaults on airplanes are on the rise CBS News investigation finds,CBS News,2026-02-16T18:38:00Z,sexual assault airplane rise cbs news investigation find,Positive,0.5,Positive
Marco Rubio on Iran Talks We Are Dealing With Radical Shiite Clerics Driven by Pure Theology,Breitbart News,2026-02-16T18:37:57Z,marco rubio iran talk deal radical shiite cleric drive pure theology,Positive,0.21428571428571427,Positive
Robert Duvall Oscar winner who starred in The Godfather dies at age 95,CBS News,2026-02-16T18:37:09Z,robert duvall oscar winner star godfather die age,Neutral,0.0,Neutral
Doctor Who RTDs Interesting Spinoff Timeline VPN It McTighe,Bleeding Cool News,2026-02-16T18:37:06Z,doctor rtds interesting spinoff timeline vpn mctighe,Positive,0.5,Positive
Face off Tyson Fury stares down Arslanbek Makhmudov ahead of April 11 boxing comeback,MMA Mania,2026-02-16T18:36:50Z,face tyson fury stare arslanbek makhmudov ahead april boxing comeback,Neutral,0.0,Neutral
Ohad Tal Crown Prince Pahlavi signals hope for Iran and Israel,Israelnationalnews.com,2026-02-16T18:35:32Z,ohad tal crown prince pahlavi signal hope iran israel,Neutral,0.0,Neutral
Oscarwinning actor Robert Duvall dead at 95  Boston News Weather Sports  WHDH 7News,"Boston News, Weather, Sports | WHDH 7News",2026-02-16T18:35:21Z,oscarwinne actor robert duvall dead boston news weather sport whdh,Negative,-0.2,Negative
LG Manoj Sinha orders reopening of 14 more tourist spots across JK restricted after April 2025 Pahalgam attack,The Times of India,2026-02-16T18:35:19Z,manoj sinha order reopen tourist spot restrict april pahalgam attack,Neutral,0.0,Neutral
Statement from BCA Superintendent Drew Evans on Alex Pretti shooting investigation Homepage,Memeorandum.com,2026-02-16T18:35:01Z,statement bca superintendent draw evans alex pretti shooting investigation homepage,Neutral,0.0,Neutral
Apple says it will bring advanced video capabilities to Apple Podcasts this spring including allowing users to switch between watching and listening to shows Todd SpanglerVariety,Mediagazer.com,2026-02-16T18:35:01Z,apple say bring advanced video capability apple podcast spring include allow user switch watch listen show todd spanglervariety,Positive,0.4,Positive
Pentagon may sever Anthropic relationship over AI safeguards  Claude maker expresses concerns over hard limits around fully autonomous weapons and mass domestic surveillance,TechRadar,2026-02-16T18:35:00Z,pentagon sever anthropic relationship safeguard claude maker express concern hard limit fully autonomous weapon mass domestic surveillance,Positive,0.036111111111111115,Positive
Florida Panther Lucy dies after cancer fight,WFTV Orlando,2026-02-16T18:34:52Z,florida panther lucy die cancer fight,Neutral,0.0,Neutral
Desperate California shipping oil from the Bahamas using bizarre loophole as state grapples with highest US gas prices,New York Post,2026-02-16T18:34:39Z,desperate california shipping oil bahama bizarre loophole state grapple high gas price,Negative,-0.013333333333333317,Negative
Square Enix RPG Is Free With PlayStation Plus for Only 24 Hours,ComicBook.com,2026-02-16T18:34:36Z,square enix rpg free playstation plus hour,Positive,0.4,Positive
TMZ Has Message For Alleged Nancy Guthrie Kidnapper After Email Demand Tell Us Now,Screen Rant,2026-02-16T18:34:31Z,tmz message alleged nancy guthrie kidnapper email demand tell,Negative,-0.1,Negative
Actor Robert Duvall Has Died,Freerepublic.com,2026-02-16T18:34:07Z,actor robert duvall die,Neutral,0.0,Neutral
Winnipeg councillor backtracks on proposed 100metre protest ban after community pushback,CBC News,2026-02-16T18:33:54Z,winnipeg councillor backtrack propose protest ban community pushback,Neutral,0.0,Neutral
Mark Carney congratulates Mikael Kingsbury on ending Canadas Olympic gold curse,National Post,2026-02-16T18:33:24Z,mark carney congratulate mikael kingsbury end canadas olympic gold curse,Neutral,0.0,Neutral
Nancy Guthrie disappearance Savannah Guthrie says we still believe as FBI investigates DNA  Fox News,Slashdot.org,2026-02-16T18:33:21Z,nancy guthrie disappearance savannah guthrie say believe fbi investigate dna fox news,Neutral,0.0,Neutral
Robert Duvall Is Dead at 95,Newser,2026-02-16T18:33:16Z,robert duvall dead,Negative,-0.2,Negative
Academy Award winning actor Robert Duvall dies at age 95,WPVI-TV,2026-02-16T18:33:12Z,academy award win actor robert duvall die age,Positive,0.8,Positive
How the H1B Visa Debate Is Driving a Wave of Racism Against South Asians  The New York Times,Slashdot.org,2026-02-16T18:33:11Z,visa debate drive wave racism south asians new york times,Positive,0.13636363636363635,Positive
Boucheron donates brooch to The Victoria and Albert Museum,Luxurydaily.com,2026-02-16T18:33:09Z,boucheron donate brooch victoria albert museum,Neutral,0.0,Neutral
Robert Duvall star of The Godfather and Apocalypse Now dead at 95,Thenationaldesk.com,2026-02-16T18:33:08Z,robert duvall star godfather apocalypse dead,Negative,-0.2,Negative
Unacceptably high Concern over lead air pollution results over Hobart,ABC News (AU),2026-02-16T18:33:05Z,unacceptably high concern lead air pollution result hobart,Positive,0.16,Positive
Oscarwinning screen legend Robert Duvall dead at 95,9News,2026-02-16T18:32:58Z,oscarwinning screen legend robert duvall dead,Negative,-0.2,Negative
Olympic skier throws poles heads for woods after skiing out with gold in reach  The New York Times,Slashdot.org,2026-02-16T18:32:40Z,olympic skier throw pole head wood ski gold reach new york times,Positive,0.13636363636363635,Positive
Kate Hudson reveals whether son Ryder 22 is following in her acting footsteps,Page Six,2026-02-16T18:32:39Z,kate hudson reveal son ryder follow act footstep,Neutral,0.0,Neutral
Godfather star Robert Duvall dies aged 95,Independent.ie,2026-02-16T18:32:32Z,godfather star robert duvall die aged,Negative,-0.1,Negative
Fully unlocking the orbital economy This California company will fly astronauts to the space station in 2027  Space,Slashdot.org,2026-02-16T18:32:29Z,fully unlock orbital economy california company fly astronaut space station space,Positive,0.8,Positive
ExNBA champ says league is not ready for life after LeBron James Hell no,New York Post,2026-02-16T18:32:06Z,exnba champ say league ready life lebron james hell,Positive,0.2,Positive
Confirmed Macclesfield v Brentford team news Furo starts as Andrews makes seven changes,Brentfordfc.com,2026-02-16T18:32:00Z,confirm macclesfield brentford team news furo start andrew make seven change,Neutral,0.0,Neutral
Carney Taps Veteran Charette as Chief Trade Negotiator to US,Financial Post,2026-02-16T18:31:03Z,carney taps veteran charette chief trade negotiator,Neutral,0.0,Neutral
Jets trade proposal from ESPN lands Kyler Murray for reasonable draft compensation,Sporting News,2026-02-16T18:30:51Z,jet trade proposal espn land kyler murray reasonable draft compensation,Positive,0.2,Positive
RNC mocks Forget someone again after Dems Presidents Day post leaves out big name,Fox News,2026-02-16T18:30:35Z,rnc mock forget dem president day post leave big,Neutral,0.0,Neutral
Ghislaine Maxwell Could End Up Kissing Her American Citizenship Goodbye,The Daily Caller,2026-02-16T18:30:29Z,ghislaine maxwell end kiss american citizenship goodbye,Neutral,0.0,Neutral
This Anker battery pack solved my battery anxiety  and its on sale this Presidents Day,TechRadar,2026-02-16T18:30:00Z,anker battery pack solve battery anxiety sale president day,Neutral,0.0,Neutral
Stephanie Grace Farewell Teedy a little less Trump and a little more Trumpism and other notes from the year in Carnival satire,The Advocate,2026-02-16T18:30:00Z,stephanie grace farewell teedy little trump little trumpism note year carnival satire,Negative,-0.1875,Negative
Larry Murphy being looked at again after report something buried near his former home in probe into missing Jo Jo Dullard and Deirdre Jacob,Independent.ie,2026-02-16T18:30:00Z,larry murphy look report bury near home probe miss dullard deirdre jacob,Positive,0.1,Positive
Weekly Utd Pod with Muppetiers EP 30,Spotify.com,2026-02-16T18:29:42Z,weekly utd pod muppetier,Neutral,0.0,Neutral
NEW Map Reveals Expansion of Popular TSA PreCheck Perk,allears.net,2026-02-16T18:29:19Z,new map reveal expansion popular tsa precheck perk,Positive,0.36818181818181817,Positive
The Godfather actor Robert Duvall dies at 95 after iconic performances in Apocalypse Now and The Great Santini,Freerepublic.com,2026-02-16T18:28:32Z,godfather actor robert duvall die iconic performance apocalypse great santini,Positive,0.65,Positive
Team USAs Matthew Tkachuk has savage taunt for Oilers Leon Draisaitl in blowout of Germany at Olympics,Sporting News,2026-02-16T18:28:26Z,team usas matthew tkachuk savage taunt oiler leon draisaitl blowout germany olympic,Neutral,0.0,Neutral
Russian Delegation to Arrive in Geneva for Talks on Ukraine on Tuesday Morning  Source,Sputnikglobe.com,2026-02-16T18:27:58Z,russian delegation arrive geneva talk ukraine tuesday morning source,Neutral,0.0,Neutral
Mining the News 21626,Fangraphs.com,2026-02-16T18:27:47Z,mine news,Neutral,0.0,Neutral
Warmth Of Collectivism Didnt Save The 20 New Yorkers Who Froze To Death During Cold Snap,The Daily Caller,2026-02-16T18:27:43Z,warmth collectivism save new yorker freeze death cold snap,Negative,-0.2318181818181818,Negative
Is Disney World Going Bigger  Bolder on Villains Land,Disneytouristblog.com,2026-02-16T18:27:05Z,disney world go big bolder villain land,Neutral,0.0,Neutral
Celtics get great Jayson Tatum update amid AllStars quiet work,Sporting News,2026-02-16T18:26:12Z,celtic great jayson tatum update amid allstar quiet work,Positive,0.4,Positive
The Simpsons May Eventually End But Will Never Have a Series Finale Showrunner Says,IGN,2026-02-16T18:25:54Z,simpson eventually end series finale showrunner say,Neutral,0.0,Neutral
Actual Convicted Terrorist Might Hold Office In European Country He Plotted Against,The Daily Caller,2026-02-16T18:25:42Z,actual convict terrorist hold office european country plot,Neutral,0.0,Neutral
Hochul Mamdani announce 15B for NYC budget ahead of preliminary plan,Gothamist,2026-02-16T18:25:22Z,hochul mamdani announce nyc budget ahead preliminary plan,Neutral,0.0,Neutral
A history of assassination reveals how targeted killings became an extension of state power,The Conversation Africa,2026-02-16T18:25:17Z,history assassination reveal targeted killing extension state power,Neutral,0.0,Neutral
Intels 52Core Nova Lake CPU May Require A Premium Motherboard For Full Power,Hot Hardware,2026-02-16T18:25:00Z,intels nova lake cpu require premium motherboard power,Neutral,0.0,Neutral
Robert Duvall star of The Godfather Apocalypse Now dead at 95,Abcnews.com,2026-02-16T18:24:46Z,robert duvall star godfather apocalypse dead,Negative,-0.2,Negative
If You Can Keep It AI And Our Democracy,NPR,2026-02-16T18:24:41Z,democracy,Neutral,0.0,Neutral
Robert Duvall of The Godfather  Apocalypse Now Dies at 95,Extra,2026-02-16T18:24:26Z,robert duvall godfather apocalypse die,Neutral,0.0,Neutral
50 LowCost Marketing Ideas That Actually Work  crowdspring Blog,Crowdspring.com,2026-02-16T18:24:03Z,lowcost marketing idea actually work crowdspre blog,Neutral,0.0,Neutral
Latest on Nancy Guthrie investigation as search now in third week,CBS News,2026-02-16T18:24:00Z,latest nancy guthrie investigation search week,Positive,0.5,Positive
Injury rumours suggest Kristensens season could be over at Frankfurt,Bulinews.com,2026-02-16T18:24:00Z,injury rumour suggest kristensen season frankfurt,Neutral,0.0,Neutral
NAACP asks judge to limit how feds use Georgia voter data seized by FBI,Fox News,2026-02-16T18:23:58Z,naacp ask judge limit fed use georgia voter datum seize fbi,Neutral,0.0,Neutral
Democrat lawmakers rush to bash Trump even as jobs inflation reports beat projections,Fox News,2026-02-16T18:23:43Z,democrat lawmaker rush bash trump job inflation report beat projection,Neutral,0.0,Neutral
Browns hire a former Falcons coach as their Jim Schwartz replacement,Sporting News,2026-02-16T18:22:54Z,brown hire falcon coach jim schwartz replacement,Neutral,0.0,Neutral
VIDEO Maryland Sheriffs Vow to Defy Democrat Gov Wes Moores Ban on Working with ICE,Breitbart News,2026-02-16T18:22:51Z,video maryland sheriff vow defy democrat gov wes moores ban work ice,Neutral,0.0,Neutral
Omar Slanders Trump semisatire,Freerepublic.com,2026-02-16T18:22:47Z,omar slander trump semisatire,Neutral,0.0,Neutral
